author;link;relevant;how;requirements;ind;hier;similarity;skillclass;identified skillclass;skill;identified skill;primitive;identified primitive;parametrizedskill;identified parametrizedskill;task;identified task;request;identified request;process;identified process;arch;impl;param;paramtype
Music (2017);https://www.sciencedirect.com/science/article/abs/pii/S1367578817301153;Y;scopus1;-;-;X;STD;-;-;Subtask;-;Low-level controllers;-;Subtask;-;Task;-;Goal;-;-;-;-;-;-;-
-;-;N;scopus1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;-;N;scopus1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;-;N;scopus1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;-;N;scopus1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cencen (2015);https://www.springerprofessional.de/en/characterizing-the-state-of-the-art-of-human-robot-coproduction/6870890;N;scopus1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;-;N;scopus1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;-;N;scopus1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;-;N;scopus1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;-;N;scopus1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;-;N;scopus1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pfrommer (2013);https://ieeexplore.ieee.org/document/6648114;Y;rsch;-;X;X;STD;-;-;Skill;-;-;-;Task;-;Task;-;-;-;Processes;cutting, bending, movement;X;-;-;-
